                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9652,                 1.9981,                  1.219,                0.70176,                0.71433,                0.73111,                0.33936,                 1.7101,                 1.5381,                 1.0717,             0.00047288,             0.00047288,             0.00047288
                      2,                 1.8564,                 1.1991,                 1.2119,                0.87703,                0.82727,                0.90074,                0.43599,                  1.696,                 1.0372,                 1.0902,             0.00093982,             0.00093982,             0.00093982
                      3,                  1.822,                  1.069,                 1.1986,                0.81841,                0.81743,                 0.8844,                0.44711,                 1.6566,                 0.9715,                 1.0893,              0.0013973,              0.0013973,              0.0013973
                      4,                 1.7644,                0.98297,                 1.1881,                0.88186,                0.85346,                0.90882,                0.45296,                 1.6882,                0.84017,                 1.0857,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.7598,                0.93639,                 1.1697,                0.89598,                0.86942,                0.91813,                 0.4648,                 1.6236,                0.84011,                 1.0625,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.7703,                 0.9234,                 1.1778,                0.89453,                0.88576,                0.92535,                0.47701,                 1.6376,                0.81571,                 1.0765,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.7482,                0.87822,                 1.1692,                0.89921,                0.89742,                0.93138,                0.48376,                 1.6003,                0.75675,                   1.07,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7116,                 0.8453,                 1.1585,                0.90742,                0.88008,                0.93426,                0.48533,                 1.6042,                0.76167,                 1.0674,              0.0013441,              0.0013441,              0.0013441
                      9,                  1.715,                0.83809,                 1.1687,                0.91658,                0.88231,                0.93148,                0.48009,                 1.6081,                0.74528,                 1.0686,                0.00133,                0.00133,                0.00133
                     10,                 1.7102,                0.83302,                 1.1637,                0.90371,                0.87808,                 0.9216,                0.46189,                 1.7157,                0.74903,                  1.096,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.7126,                0.82675,                 1.1614,                  0.905,                0.89384,                0.93306,                0.48535,                 1.6178,                0.74076,                 1.0697,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6801,                0.79212,                 1.1488,                0.91111,                0.89166,                0.93493,                0.48915,                 1.6133,                0.73244,                  1.072,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.6785,                0.78997,                 1.1463,                0.90761,                0.89062,                0.93486,                0.48341,                 1.6337,                0.72523,                 1.0791,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.6669,                0.78838,                 1.1419,                0.91072,                0.90151,                0.94342,                 0.4981,                 1.6021,                0.71683,                 1.0638,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.6766,                0.78441,                 1.1516,                0.90693,                0.89658,                0.94198,                0.49636,                 1.6219,                0.72862,                 1.0602,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.6565,                0.77193,                 1.1416,                0.90985,                0.90244,                0.94182,                0.50149,                 1.5869,                0.71884,                 1.0548,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.6701,                0.77779,                 1.1417,                0.90264,                0.90352,                0.93248,                 0.4889,                 1.6111,                0.71167,                 1.0668,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6454,                0.76465,                   1.14,                0.90546,                0.90352,                0.94007,                0.50186,                 1.5871,                0.70035,                 1.0573,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.6489,                0.75996,                 1.1396,                0.91622,                0.91031,                0.94754,                0.50846,                 1.5949,                0.69558,                 1.0575,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.6277,                0.74256,                 1.1303,                0.92229,                 0.9057,                0.94466,                0.51017,                 1.5659,                0.67918,                 1.0566,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.6487,                0.75749,                 1.1364,                0.90993,                0.90873,                0.94361,                 0.5068,                 1.5716,                0.69149,                 1.0595,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.6349,                0.74417,                 1.1344,                0.91817,                0.90346,                 0.9473,                0.51279,                 1.5659,                0.68675,                 1.0568,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.6209,                0.73739,                  1.129,                0.91529,                0.90573,                0.94289,                0.50035,                 1.5887,                0.68828,                 1.0592,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.6052,                0.72571,                 1.1279,                0.91123,                0.90067,                0.94296,                0.51068,                 1.5712,                0.67075,                 1.0527,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.6184,                0.72639,                 1.1285,                0.91986,                0.89905,                0.94131,                 0.5066,                 1.5665,                  0.692,                 1.0618,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.6179,                 0.7357,                 1.1233,                0.91056,                0.90446,                0.94662,                0.51002,                 1.5801,                0.68569,                 1.0563,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.6228,                0.72492,                 1.1251,                0.91911,                0.90667,                0.94837,                0.51418,                 1.5609,                 0.6654,                 1.0543,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.6085,                0.72785,                 1.1219,                 0.9156,                0.90661,                0.94418,                0.51927,                 1.5493,                0.67583,                 1.0484,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.5959,                0.71914,                 1.1204,                0.91688,                0.90628,                0.94665,                0.51698,                 1.5438,                0.67133,                 1.0501,               0.001047,               0.001047,               0.001047
                     30,                 1.5887,                0.70478,                 1.1121,                0.91112,                0.92173,                0.94971,                0.51567,                 1.5516,                0.66047,                 1.0461,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5909,                0.71352,                 1.1111,                  0.917,                0.90565,                0.94634,                 0.5182,                 1.5606,                 0.6622,                 1.0494,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.5782,                0.70416,                 1.1106,                0.91608,                0.91578,                0.94862,                0.51389,                 1.5809,                0.66608,                 1.0581,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5829,                0.69571,                 1.1158,                0.92032,                0.90925,                0.94485,                0.51454,                 1.5627,                0.66671,                 1.0566,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5791,                0.69952,                 1.1158,                0.90779,                0.91504,                0.94753,                0.51496,                 1.5704,                0.66553,                 1.0554,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5814,                0.70739,                 1.1119,                0.91801,                0.91453,                0.94728,                0.51595,                 1.5428,                0.65657,                 1.0464,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.5636,                0.69292,                 1.1054,                0.92206,                0.90796,                0.95098,                0.52134,                 1.5496,                0.65023,                 1.0509,               0.000948,               0.000948,               0.000948
                     37,                 1.5799,                0.70331,                 1.1071,                0.91889,                0.90694,                0.94605,                0.51485,                 1.5427,                0.66522,                 1.0479,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5565,                0.69083,                 1.1051,                0.91658,                0.92033,                0.95027,                0.52389,                  1.537,                0.65252,                 1.0474,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5595,                0.68585,                  1.102,                0.93095,                0.90124,                0.95078,                0.52293,                 1.5491,                0.64919,                 1.0454,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.5647,                0.68862,                 1.1066,                0.91916,                0.90807,                0.94977,                0.52373,                 1.5357,                0.65005,                 1.0456,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.5562,                0.68832,                 1.0998,                0.91312,                0.91391,                0.94682,                0.52034,                 1.5464,                0.65138,                 1.0494,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5579,                0.68485,                 1.1037,                0.91291,                0.91347,                 0.9439,                0.52298,                 1.5445,                0.64373,                 1.0489,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.5609,                0.68351,                 1.1024,                0.91532,                 0.9123,                0.94733,                0.52287,                 1.5407,                0.64502,                 1.0461,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.5364,                0.66751,                  1.093,                0.91803,                0.91344,                0.94915,                0.52369,                 1.5365,                0.64607,                  1.044,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.5533,                0.67829,                 1.0979,                0.92063,                0.91067,                0.94681,                0.52384,                 1.5352,                0.64356,                 1.0456,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.5356,                0.67448,                 1.0914,                0.92606,                0.90567,                0.94963,                0.52397,                 1.5448,                0.64142,                 1.0445,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.5503,                0.68082,                 1.0983,                0.91554,                0.91301,                0.94824,                0.52141,                  1.537,                0.64981,                 1.0425,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.5423,                0.67246,                 1.0934,                0.92171,                0.91104,                0.95087,                0.52407,                 1.5512,                0.64363,                 1.0458,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.5305,                0.66622,                 1.0928,                0.91771,                  0.913,                0.95063,                0.52992,                 1.5187,                0.63195,                 1.0413,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.5174,                0.66355,                 1.0871,                0.91939,                0.91464,                0.94906,                0.52548,                 1.5401,                0.63289,                 1.0446,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.5222,                0.65999,                 1.0878,                0.91924,                0.91195,                0.94931,                0.52635,                 1.5288,                0.63443,                 1.0443,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.5219,                0.66165,                 1.0888,                0.91206,                0.91413,                0.94855,                0.52483,                  1.529,                0.63685,                 1.0432,             0.00072164,             0.00072164,             0.00072164
                     53,                  1.509,                0.65988,                 1.0831,                0.91865,                0.91876,                0.94926,                0.52493,                 1.5425,                0.63413,                 1.0458,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.5136,                 0.6553,                 1.0846,                0.91829,                0.91719,                0.95052,                0.52772,                 1.5308,                0.62807,                 1.0423,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.4864,                0.64775,                 1.0787,                0.91715,                0.92003,                0.95077,                0.52258,                 1.5414,                 0.6378,                 1.0428,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.5044,                0.65126,                 1.0908,                0.91919,                0.90885,                0.94834,                 0.5265,                 1.5333,                0.63242,                 1.0448,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.495,                0.65104,                 1.0921,                0.91852,                0.91611,                0.94942,                0.52689,                 1.5366,                0.62485,                 1.0454,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.4931,                0.65227,                 1.0755,                0.91122,                 0.9197,                0.94569,                0.52502,                 1.5343,                0.63619,                 1.0431,             0.00063676,             0.00063676,             0.00063676
