                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5978,                 2.6108,                 1.4013,                0.63253,                0.69155,                0.71361,                0.42656,                  1.288,                 1.7176,                 1.1937,             0.00036774,             0.00036774,             0.00036774
                      2,                 1.4797,                 1.6954,                 1.3488,                0.83348,                0.76189,                0.86597,                0.53309,                 1.2612,                 1.1227,                 1.2392,             0.00073321,             0.00073321,             0.00073321
                      3,                 1.4622,                 1.4342,                 1.3582,                0.88873,                0.81163,                0.89141,                0.59414,                 1.1431,                 1.0067,                 1.2028,              0.0010938,              0.0010938,              0.0010938
                      4,                 1.4316,                  1.313,                 1.3406,                 0.9042,                0.86587,                0.92297,                0.59194,                 1.2188,                0.88891,                 1.2106,               0.001089,               0.001089,               0.001089
                      5,                 1.4037,                 1.1832,                 1.3244,                0.94325,                0.89424,                0.95388,                0.63448,                 1.1234,                0.77373,                 1.1701,               0.001089,               0.001089,               0.001089
                      6,                 1.3754,                 1.0941,                 1.3121,                0.91656,                0.89971,                0.94606,                0.60742,                 1.2148,                0.79074,                 1.1955,              0.0010817,              0.0010817,              0.0010817
                      7,                 1.3525,                 1.0488,                 1.2953,                0.94857,                0.90821,                0.96102,                0.64688,                  1.096,                0.73145,                 1.1781,              0.0010743,              0.0010743,              0.0010743
                      8,                 1.3256,                0.99835,                 1.2739,                0.94527,                0.91596,                 0.9531,                0.62663,                  1.167,                0.71665,                 1.1721,               0.001067,               0.001067,               0.001067
                      9,                 1.3476,                 0.9823,                 1.2854,                0.92731,                0.92541,                0.96464,                0.66139,                 1.0892,                0.69461,                 1.1505,              0.0010597,              0.0010597,              0.0010597
                     10,                 1.2986,                0.92806,                 1.2544,                0.95705,                0.94144,                0.96604,                0.61931,                 1.2023,                0.66611,                 1.1686,              0.0010523,              0.0010523,              0.0010523
                     11,                  1.305,                0.91331,                 1.2574,                 0.9631,                0.91514,                0.97118,                0.66032,                 1.1211,                0.62097,                 1.1413,               0.001045,               0.001045,               0.001045
                     12,                 1.2828,                0.90066,                 1.2582,                0.94947,                0.94784,                0.97527,                0.67045,                 1.0839,                 0.5962,                 1.1385,              0.0010377,              0.0010377,              0.0010377
                     13,                 1.2778,                0.86002,                 1.2457,                 0.9461,                0.92926,                0.96687,                0.66317,                 1.0713,                0.62169,                 1.1378,              0.0010303,              0.0010303,              0.0010303
                     14,                 1.2603,                0.85047,                 1.2424,                0.96473,                0.94238,                0.97138,                0.67864,                 1.0551,                0.59288,                 1.1346,               0.001023,               0.001023,               0.001023
                     15,                 1.2662,                0.83497,                 1.2444,                0.96214,                0.94186,                0.96975,                0.68861,                 1.0472,                0.58901,                 1.1125,              0.0010157,              0.0010157,              0.0010157
                     16,                  1.262,                0.83138,                 1.2394,                0.96952,                0.95339,                0.97212,                0.67738,                 1.0658,                0.58334,                 1.1245,              0.0010083,              0.0010083,              0.0010083
                     17,                 1.2267,                0.82473,                 1.2284,                0.94084,                0.94476,                0.97222,                0.67909,                 1.0442,                0.56077,                 1.1159,               0.001001,               0.001001,               0.001001
                     18,                 1.2386,                0.81369,                 1.2291,                 0.9613,                0.94575,                0.96988,                0.64689,                 1.0985,                0.61144,                 1.1416,             0.00099368,             0.00099368,             0.00099368
                     19,                 1.2275,                 0.8014,                 1.2201,                 0.9563,                0.94032,                0.97172,                  0.689,                 1.0348,                0.55896,                 1.1165,             0.00098635,             0.00098635,             0.00098635
                     20,                 1.2199,                 0.8058,                 1.2267,                 0.9595,                0.95064,                0.97246,                0.69303,                 1.0292,                0.54331,                 1.1091,             0.00097901,             0.00097901,             0.00097901
                     21,                 1.2231,                0.78676,                 1.2186,                0.96626,                0.95403,                0.97646,                0.69801,                 1.0037,                0.53871,                 1.1043,             0.00097168,             0.00097168,             0.00097168
                     22,                 1.2075,                0.77422,                 1.2086,                0.95693,                0.95136,                0.97484,                0.70194,                 1.0133,                0.53604,                 1.0998,             0.00096435,             0.00096435,             0.00096435
                     23,                 1.2085,                0.76664,                 1.2085,                0.96766,                0.95242,                0.97455,                0.70003,                 1.0009,                0.53988,                 1.1085,             0.00095702,             0.00095702,             0.00095702
                     24,                 1.1984,                0.77048,                 1.2159,                0.96955,                0.94695,                0.96704,                 0.6908,                 1.0235,                0.53856,                 1.1125,             0.00094968,             0.00094968,             0.00094968
                     25,                 1.1845,                0.74408,                 1.1966,                0.96022,                0.95181,                0.97255,                0.67465,                   1.04,                0.54259,                 1.1206,             0.00094235,             0.00094235,             0.00094235
                     26,                 1.2078,                0.74038,                 1.2163,                0.95321,                0.94083,                0.96591,                0.69464,                 1.0217,                0.55246,                 1.1059,             0.00093502,             0.00093502,             0.00093502
                     27,                 1.1864,                0.73697,                 1.2053,                0.96503,                0.95796,                0.97577,                0.68896,                 1.0332,                0.52301,                 1.0991,             0.00092769,             0.00092769,             0.00092769
